ChainNode,QuickNode,Alchemy,PublicNode,Infura,Ankr,GetBlock
182.8889ms,305.9274ms,254.3089ms,555.3408ms,234.489ms,47.318ms,224.1968ms
193.1037ms,292.9944ms,242.8201ms,65.8311ms,240.2837ms,124.8323ms,278.8593ms
187.6552ms,310.028ms,244.4899ms,60.5246ms,243.0043ms,148.9398ms,276.6864ms
182.8761ms,309.6499ms,905.2734ms,57.0104ms,240.1816ms,100.8496ms,274.1921ms
194.4004ms,310.7843ms,256.9537ms,596.7941ms,240.5201ms,47.1211ms,277.7705ms
187.6828ms,292.6323ms,252.7785ms,56.4711ms,227.9096ms,286.1902ms,265.7147ms
197.2776ms,295.2269ms,247.0937ms,63.8377ms,241.8402ms,44.8458ms,270.6916ms
196.7512ms,296.5256ms,252.5048ms,61.1457ms,229.4089ms,96.1045ms,267.352ms
194.2543ms,313.3663ms,253.7125ms,597.1645ms,229.3855ms,55.669ms,281.1365ms
184.2923ms,320.2076ms,240.7652ms,58.5937ms,239.6398ms,97.2397ms,279.3996ms
195.1659ms,295.1747ms,257.4215ms,53.646ms,234.9054ms,53.7044ms,310.7287ms
183.5239ms,314.4752ms,236.5361ms,62.4228ms,235.67ms,44.4727ms,311.469ms
194.9924ms,298.1028ms,246.2639ms,519.9254ms,236.1606ms,93.106ms,245.7207ms
188.4964ms,293.3832ms,237.2632ms,56.1487ms,228.2211ms,72.5048ms,315.3156ms
203.0276ms,292.2377ms,249.4863ms,62.8849ms,374.3965ms,125.3898ms,282.1316ms
188.2334ms,319.0799ms,280.7101ms,558.9829ms,240.9696ms,85.8116ms,294.8463ms
183.4475ms,294.2427ms,241.0667ms,161.8299ms,239.7109ms,233.8357ms,299.8135ms
217.3149ms,300.4563ms,295.8496ms,131.1905ms,247.1299ms,56.234ms,243.8934ms
189.2794ms,310.7452ms,392.5418ms,95.6538ms,228.5978ms,104.1511ms,283.8163ms
197.2801ms,300.2356ms,248.6473ms,591.4939ms,251.6933ms,50.6693ms,240.3203ms
198.9469ms,310.2224ms,246.3048ms,57.4284ms,229.4157ms,101.3596ms,321.0232ms
191.2304ms,297.8942ms,252.4691ms,57.0698ms,230.4726ms,56.0715ms,294.7068ms
188.683ms,294.7394ms,248.4239ms,640.758ms,231.6358ms,205.4742ms,271.4013ms
196.9552ms,310.3061ms,246.0419ms,62.411ms,231.9992ms,53.0175ms,284.6748ms
198.4714ms,306.2122ms,247.0011ms,57.9205ms,245.9853ms,104.5901ms,273.1935ms
189.9722ms,292.5929ms,243.8865ms,69.8232ms,238.0736ms,62.1175ms,307.1332ms
187.6264ms,296.1946ms,243.3712ms,581.0326ms,253.6883ms,101.979ms,284.3961ms
188.4775ms,296.0332ms,242.0965ms,71.7651ms,233.8525ms,51.1155ms,253.3664ms
189.8949ms,299.965ms,236.6423ms,61.2787ms,241.6375ms,107.0305ms,243.1786ms
204.1385ms,309.9617ms,252.5399ms,58.1831ms,233.0032ms,54.9669ms,237.4134ms
191.1911ms,299.1874ms,253.3368ms,591.2162ms,230.6232ms,120.5086ms,251.4985ms
189.4154ms,297.3574ms,254.0249ms,60.9766ms,245.993ms,45.595ms,270.5054ms
187.4615ms,310.6417ms,247.6188ms,67.4459ms,232.7153ms,104.1212ms,224.2427ms
194.6144ms,301.3816ms,261.2066ms,66.382ms,243.1749ms,51.7209ms,232.9154ms
187.4531ms,302.3635ms,237.8458ms,546.723ms,234.5028ms,411.9548ms,240.0593ms
193.2759ms,305.5234ms,241.6651ms,64.6706ms,229.3397ms,51.8044ms,264.4697ms
189.7577ms,293.2484ms,249.2152ms,157.7511ms,234.1123ms,238.4232ms,235.8496ms
199.0499ms,295.6509ms,251.4123ms,57.6414ms,243.4045ms,47.6613ms,233.532ms
192.2483ms,309.7218ms,250.512ms,591.2862ms,550.323ms,107.7612ms,236.545ms
209.1088ms,307.8134ms,245.4443ms,59.1496ms,250.6507ms,99.4873ms,247.8256ms
196.8527ms,319.4622ms,247.4863ms,74.2269ms,247.0861ms,116.7845ms,245.6924ms
203.4295ms,306.4136ms,927.578ms,519.001ms,231.4216ms,65.1998ms,216.6474ms
195.6711ms,301.8873ms,249.5635ms,65.8694ms,287.2711ms,113.7549ms,228.9958ms
195.5297ms,298.2195ms,267.0267ms,77.1605ms,251.5441ms,64.5824ms,261.4868ms
207.2142ms,323.8194ms,269.6729ms,85.608ms,246.4654ms,212.6807ms,251.5309ms
207.544ms,298.3406ms,261.4721ms,547.2139ms,229.1602ms,49.9449ms,266.3935ms
189.6319ms,296.6983ms,262.7683ms,61.5022ms,230.8782ms,104.559ms,320.2058ms
191.007ms,293.096ms,253.3431ms,58.5098ms,242.6112ms,41.9203ms,256.6213ms
195.6624ms,292.4487ms,301.8585ms,54.0402ms,241.5497ms,105.1957ms,238.5562ms
199.5192ms,301.4989ms,256.4744ms,523.0478ms,231.1761ms,51.4852ms,236.0449ms
189.3673ms,311.9347ms,251.2319ms,60.1511ms,234.9065ms,127.1951ms,259.2263ms
191.5115ms,295.5196ms,255.0269ms,64.2694ms,233.5547ms,54.9294ms,271.4483ms
193.0026ms,298.9603ms,249.749ms,79.8364ms,239.5705ms,98.8237ms,245.7845ms
193.3997ms,299.374ms,256.158ms,600.2838ms,230.2083ms,57.2768ms,261.5784ms
189.99ms,295.1289ms,259.8433ms,67.4831ms,231.0094ms,256.4028ms,294.5632ms
